player,team,season
James Harden,HOU,2015
Stephen Curry,GSW,2015
Marc Gasol,MEM,2015
Klay Thompson,GSW,2015
LaMarcus Aldridge,POR,2015
Chris Paul,LAC,2015
Russell Westbrook,OKC,2015
DeMarcus Cousins,SAC,2015
Damian Lillard,POR,2015
Tim Duncan,SAS,2015
Dirk Nowitzki,DAL,2015
Kevin Durant,OKC,2015
LeBron James,CLE,2015
Carmelo Anthony,NYK,2015
John Wall,WAS,2015
Pau Gasol,CHI,2015
Kyle Lowry,TOR,2015
Kyrie Irving,CLE,2015
Kyle Korver,ATL,2015
Paul Millsap,ATL,2015
Al Horford,ATL,2015
Jeff Teague,ATL,2015
Chris Bosh,MIA,2015
Jimmy Butler,CHI,2015
Stephen Curry,GSW,2016
Kobe Bryant,LAL,2016
Kawhi Leonard,SAS,2016
Kevin Durant,OKC,2016
Russell Westbrook,OKC,2016
James Harden,HOU,2016
Klay Thompson,GSW,2016
Chris Paul,LAC,2016
Anthony Davis,NOP,2016
LaMarcus Aldridge,SAS,2016
Draymond Green,GSW,2016
DeMarcus Cousins,SAC,2016
Kyle Lowry,TOR,2016
Paul George,IND,2016
Carmelo Anthony,NYK,2016
Dwyane Wade,MIA,2016
LeBron James,CLE,2016
John Wall,WAS,2016
Paul Millsap,ATL,2016
Isaiah Thomas,BOS,2016
DeMar DeRozan,TOR,2016
Andre Drummond,DET,2016
Pau Gasol,CHI,2016
Al Horford,ATL,2016
Anthony Davis,NOP,2017
James Harden,HOU,2017
Stephen Curry,GSW,2017
Kevin Durant,GSW,2017
Kawhi Leonard,SAS,2017
Marc Gasol,MEM,2017
Russell Westbrook,OKC,2017
Klay Thompson,GSW,2017
Gordon Hayward,UTA,2017
Draymond Green,GSW,2017
DeAndre Jordan,LAC,2017
DeMarcus Cousins,SAC,2017
DeMar DeRozan,TOR,2017
Giannis Antetokounmpo,MIL,2017
Kyrie Irving,CLE,2017
LeBron James,CLE,2017
Jimmy Butler,CHI,2017
Paul George,IND,2017
John Wall,WAS,2017
Kemba Walker,CHO,2017
Carmelo Anthony,NYK,2017
Isaiah Thomas,BOS,2017
Kyle Lowry,TOR,2017
Paul Millsap,ATL,2017
LeBron James,CLE,2018
Kevin Durant,GSW,2018
Russell Westbrook,OKC,2018
Kyrie Irving,BOS,2018
Anthony Davis,NOP,2018
Paul George,OKC,2018
Andre Drummond,DET,2018
Bradley Beal,WAS,2018
Victor Oladipo,IND,2018
Kemba Walker,CHO,2018
Goran Dragić,MIA,2018
LaMarcus Aldridge,SAS,2018
James Harden,HOU,2018
DeMar DeRozan,TOR,2018
Stephen Curry,GSW,2018
Giannis Antetokounmpo,MIL,2018
Joel Embiid,PHI,2018
Kyle Lowry,TOR,2018
Klay Thompson,GSW,2018
Damian Lillard,POR,2018
Draymond Green,GSW,2018
Karl-Anthony Towns,MIN,2018
Al Horford,BOS,2018
LeBron James,LAL,2019
James Harden,HOU,2019
Kevin Durant,GSW,2019
Kyrie Irving,BOS,2019
Kawhi Leonard,TOR,2019
Damian Lillard,POR,2019
Klay Thompson,GSW,2019
Bradley Beal,WAS,2019
Ben Simmons,PHI,2019
Karl-Anthony Towns,MIN,2019
LaMarcus Aldridge,SAS,2019
Dwyane Wade,MIA,2019
Anthony Davis,NOP,2019
Stephen Curry,GSW,2019
Giannis Antetokounmpo,MIL,2019
Paul George,OKC,2019
Joel Embiid,PHI,2019
Kemba Walker,CHO,2019
Khris Middleton,MIL,2019
Blake Griffin,DET,2019
Russell Westbrook,OKC,2019
Nikola Jokić,DEN,2019
Kyle Lowry,TOR,2019
D'Angelo Russell,BRK,2019
Nikola Vučević,ORL,2019
Dirk Nowitzki,DAL,2019
Kawhi Leonard,LAC,2020
Anthony Davis,LAL,2020
LeBron James,LAL,2020
James Harden,HOU,2020
Luka Dončić,DAL,2020
Ben Simmons,PHI,2020
Russell Westbrook,HOU,2020
Chris Paul,OKC,2020
Devin Booker,PHO,2020
Domantas Sabonis,IND,2020
Jayson Tatum,BOS,2020
Nikola Jokić,DEN,2020
Giannis Antetokounmpo,MIL,2020
Kemba Walker,BOS,2020
Joel Embiid,PHI,2020
Pascal Siakam,TOR,2020
Trae Young,ATL,2020
Kyle Lowry,TOR,2020
Khris Middleton,MIL,2020
Rudy Gobert,UTA,2020
Donovan Mitchell,UTA,2020
Jimmy Butler,MIA,2020
Bam Adebayo,MIA,2020
Brandon Ingram,NOP,2020
